d,r_eff,J,value,ci_lo,ci_hi,panel
64,1.25,1,0.12261058077901724,0.12141186786956162,0.12381594982517738,B_operational_gap
64,1.25,4,0.06504185047950753,0.06398691922531728,0.06610075303585974,B_operational_gap
64,1.5,1,0.10637607927894957,0.10500291438117142,0.10772218410709232,B_operational_gap
64,1.5,4,0.04577582136198844,0.04480596062738892,0.04670778005206014,B_operational_gap
64,1.75,1,0.09177279105811371,0.09054437417621677,0.09305468987179896,B_operational_gap
64,1.75,4,0.0323709783890668,0.03151124317338532,0.03323145868118414,B_operational_gap
64,2.0,1,0.08089167555222415,0.07977280009729716,0.0819718457450805,B_operational_gap
64,2.0,4,0.020089433160477545,0.019397665745838833,0.02079948562077623,B_operational_gap
64,3.0,1,0.050159481272985015,0.04900070584173022,0.051287582607083756,B_operational_gap
64,3.0,4,-0.008176248054065853,-0.009066843176927615,-0.007287925114109127,B_operational_gap
4,0.5,1,0.6638831718573467,0.6211991963695814,0.707749171978842,C_log10_ZO_over_PW_error_channel
4,0.5,4,-0.005002249464243328,-0.010072990164955106,8.69891229452464e-05,C_log10_ZO_over_PW_error_channel
4,0.75,1,0.2653029007868268,0.25788418923162615,0.27274064755851635,C_log10_ZO_over_PW_error_channel
4,0.75,4,-0.36293202574828615,-0.3670129370136619,-0.3586980667572408,C_log10_ZO_over_PW_error_channel
4,1.0,1,-0.003494965241385775,-0.01021130770766057,0.0032276815374449133,C_log10_ZO_over_PW_error_channel
4,1.0,4,-0.6140961893481179,-0.6189731679254364,-0.6091206058427032,C_log10_ZO_over_PW_error_channel
4,1.25,1,-0.21228543714833722,-0.21882439515051705,-0.2059224024740447,C_log10_ZO_over_PW_error_channel
4,1.25,4,-0.8091577355636117,-0.8137499832127235,-0.8046572593019692,C_log10_ZO_over_PW_error_channel
4,1.5,1,-0.3679034816281493,-0.3744146749011477,-0.3614292564513145,C_log10_ZO_over_PW_error_channel
4,1.5,4,-0.9698658307378729,-0.9743212797338134,-0.965258300205561,C_log10_ZO_over_PW_error_channel
4,1.75,1,-0.49193363491583375,-0.49827891060084706,-0.48530536244038686,C_log10_ZO_over_PW_error_channel
4,1.75,4,-1.1046234818744924,-1.110002998871545,-1.0991430169596448,C_log10_ZO_over_PW_error_channel
4,2.0,1,-0.6141977116599932,-0.621549409566659,-0.6072332966417515,C_log10_ZO_over_PW_error_channel
4,2.0,4,-1.2148262207449303,-1.219311265776502,-1.210317224710195,C_log10_ZO_over_PW_error_channel
4,3.0,1,-0.9632089566224094,-0.9726285350531719,-0.9535744027428625,C_log10_ZO_over_PW_error_channel
4,3.0,4,-1.5655543667563292,-1.5703463114386553,-1.560916605350349,C_log10_ZO_over_PW_error_channel
16,0.5,1,0.5877277239199657,0.5806814506376631,0.594971993248177,C_log10_ZO_over_PW_error_channel
16,0.5,4,-0.01440098465343005,-0.018953217135510597,-0.009971538536106094,C_log10_ZO_over_PW_error_channel
16,0.75,1,0.23551136976502723,0.22899974720411115,0.2421314293603563,C_log10_ZO_over_PW_error_channel
16,0.75,4,-0.36868246604595195,-0.3728729725561595,-0.36444585408962704,C_log10_ZO_over_PW_error_channel
16,1.0,1,-0.016109821927873143,-0.022583052009800986,-0.009836823488799431,C_log10_ZO_over_PW_error_channel
16,1.0,4,-0.6164696965235108,-0.620954752259173,-0.6121757671102317,C_log10_ZO_over_PW_error_channel
16,1.25,1,-0.2088263988867573,-0.21580467924170607,-0.20197370062920547,C_log10_ZO_over_PW_error_channel
16,1.25,4,-0.811924298587786,-0.8165183535238527,-0.8074520333389845,C_log10_ZO_over_PW_error_channel
16,1.5,1,-0.3654281034397482,-0.37174408938425824,-0.35883900570805255,C_log10_ZO_over_PW_error_channel
16,1.5,4,-0.9671597190328877,-0.9713606935328597,-0.9630387772493798,C_log10_ZO_over_PW_error_channel
16,1.75,1,-0.4953544658471194,-0.5015540013443242,-0.4890485710843173,C_log10_ZO_over_PW_error_channel
16,1.75,4,-1.1013383966535921,-1.1051133343430095,-1.097456249627613,C_log10_ZO_over_PW_error_channel
16,2.0,1,-0.616263381837564,-0.6238531042963839,-0.60826857255027,C_log10_ZO_over_PW_error_channel
16,2.0,4,-1.2179839457782506,-1.2217790565606237,-1.214198802066497,C_log10_ZO_over_PW_error_channel
16,3.0,1,-0.9696420857663955,-0.9770916584713021,-0.9620103309259035,C_log10_ZO_over_PW_error_channel
16,3.0,4,-1.5708495148105588,-1.5743481405814286,-1.5673045892963116,C_log10_ZO_over_PW_error_channel
64,0.5,1,0.5883334626449855,0.5820043192909754,0.5950937059953118,C_log10_ZO_over_PW_error_channel
64,0.5,4,-0.016150902587524812,-0.019661639174006245,-0.012701886380364513,C_log10_ZO_over_PW_error_channel
64,0.75,1,0.2320034983474386,0.22416299870105824,0.23970620490316824,C_log10_ZO_over_PW_error_channel
64,0.75,4,-0.3654063649083399,-0.3691077293337659,-0.361838964616711,C_log10_ZO_over_PW_error_channel
64,1.0,1,-0.015730330893512903,-0.0221199091614584,-0.009353192736627719,C_log10_ZO_over_PW_error_channel
64,1.0,4,-0.6168012941707445,-0.6208906342276287,-0.6127258523331431,C_log10_ZO_over_PW_error_channel
64,1.25,1,-0.20668844862678767,-0.21339025799352515,-0.19997207029396613,C_log10_ZO_over_PW_error_channel
64,1.25,4,-0.8114938700933031,-0.815499080669641,-0.8075683920722754,C_log10_ZO_over_PW_error_channel
64,1.5,1,-0.3617091738842784,-0.3679599582722046,-0.35543750446140615,C_log10_ZO_over_PW_error_channel
64,1.5,4,-0.9673298569772354,-0.9702810791750167,-0.9643920687390017,C_log10_ZO_over_PW_error_channel
64,1.75,1,-0.5031304831271479,-0.5096906327196072,-0.496512195881735,C_log10_ZO_over_PW_error_channel
64,1.75,4,-1.098976248835065,-1.1026875964293053,-1.095277273091174,C_log10_ZO_over_PW_error_channel
64,2.0,1,-0.617861039430549,-0.6250262879087944,-0.6105062565792637,C_log10_ZO_over_PW_error_channel
64,2.0,4,-1.2189668050709133,-1.2230682686173024,-1.2146948664222288,C_log10_ZO_over_PW_error_channel
64,3.0,1,-0.9676328215390527,-0.9742664116663595,-0.9608905008115335,C_log10_ZO_over_PW_error_channel
64,3.0,4,-1.5683103976892108,-1.5718524576833321,-1.5646810498883987,C_log10_ZO_over_PW_error_channel
