r_eff,value,ci_lo,ci_hi,series,panel,systematic,noise
0.75,0.25674626297511083,0.24492396131743074,0.2686093027711709,E-step J=8,B_update_error,,
1.0,0.25696709986094424,0.2450806911895164,0.26883897542736823,E-step J=8,B_update_error,,
1.25,0.25656837897902074,0.24454638925854516,0.2687020733669739,E-step J=8,B_update_error,,
1.5,0.2567166329504402,0.24482747486852913,0.2687200897716342,E-step J=8,B_update_error,,
1.75,0.25694846783287584,0.24502093640914055,0.2688491120854084,E-step J=8,B_update_error,,
2.0,0.25739994788758497,0.24534562370155388,0.2692193343763065,E-step J=8,B_update_error,,
3.0,0.256671277811909,0.2448264679707441,0.2686544832091129,E-step J=8,B_update_error,,
0.5,0.11331768158091521,0.10544962932095182,0.12129025745708974,pathwise J=8,B_update_error,,
0.75,0.16099353606715544,0.1523008264884482,0.16977523136876618,pathwise J=8,B_update_error,,
1.0,0.19798212201342597,0.18950850096550287,0.2065263929570507,pathwise J=8,B_update_error,,
1.25,0.22730503339542013,0.2194619983742699,0.23520454528476512,pathwise J=8,B_update_error,,
1.5,0.24953629382491277,0.24248074970424238,0.2567552672008692,pathwise J=8,B_update_error,,
1.75,0.2674267730069524,0.2609123208293615,0.27382950285818064,pathwise J=8,B_update_error,,
2.0,0.28126753557036877,0.2752500107131359,0.287107956210481,pathwise J=8,B_update_error,,
3.0,0.3183224996888847,0.3140468176894659,0.3226952119658367,pathwise J=8,B_update_error,,
,,,,PW J=1,C_decomposition,0.017656758239117498,0.12951881606419666
,,,,E-step J=1,C_decomposition,0.042553191497484766,0.006172333380371486
,,,,PW J=4,C_decomposition,0.0024323910691742,0.19381893959085356
,,,,E-step J=4,C_decomposition,0.016962927353282642,0.004972973315161777
,,,,PW J=8,C_decomposition,0.0026059222623526987,0.20291938096391857
,,,,E-step J=8,C_decomposition,0.009663318263997078,0.003147033960398782
